Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,volatility_1h_30d,volume_to_marketcap,circulating_to_total_supply,momentum_diff_7d_30d
93.0,IOTA,IOTA,0.15700374880966475,0.9,-3.9,-7.6,15.6,9356115.0,3018990414.0,4600000000.0,524134088.0,14.7,0.01785061344836629,0.6563022639130435,-23.2
94.0,ApeCoin,APE,0.8796267475025636,2.2,-1.6,-1.5,27.1,94043016.0,368593750.0,1000000000.0,519249794.0,24.900000000000002,0.1811132466236472,0.36859375,-28.6
95.0,Frax Share,FXS,2.065596134857783,1.1,0.8,-11.3,24.3,41991658.0,75282183.0,99700000.0,518775048.0,23.2,0.08094386605887799,0.7550870912738215,-35.6
96.0,Sui,SUI,0.4252677354043441,1.2,-1.2,-9.9,33.6,89479970.0,965577711.0,10000000000.0,515742654.0,32.4,0.1734973233375419,0.0965577711,-43.5
97.0,Conflux,CFX,0.13976194237515868,0.1,-3.3,-9.6,33.3,38357640.0,3457624900.0,5440000000.0,511998453.0,33.199999999999996,0.07491749198703146,0.6355928125,-42.9
98.0,Arweave,AR,2.169053700369523,1.1,-0.5,3.9,85.4,21507079.0,65454186.0,65500000.0,507054552.0,84.30000000000001,0.04241571033169622,0.9993005496183206,-81.5
99.0,Curve DAO,CRV,0.4382549309311553,1.0,-2.0,-6.2,21.2,89138351.0,919601447.0,2040000000.0,505666551.0,20.2,0.17627891507500562,0.4507850230392157,-27.4
100.0,Rollbit Coin,RLB,0.14842000511827327,-2.3,-6.7,-30.4,3.7,8526016.0,3081146040.0,3080000000.0,504641576.0,6.0,0.016895191370439124,1.000372090909091,-34.1
101.0,Gnosis,GNO,5.274075902175002,-0.4,2.3,12.2,91.5,4313295.0,2589589.0,3000000.0,502800406.0,91.9,0.008578543192345791,0.8631963333333333,-79.3
102.0,Chiliz,CHZ,0.06765864847381481,0.4,-3.8,-9.6,11.9,89888764.0,6975647158.0,8890000000.0,492800669.0,11.5,0.18240390010509502,0.7846622224971879,-21.5
103.0,cETH,CETH,3.731220294603461,0.5,2.1,1.0,21.5,755.0,12090449.0,12100000.0,492425783.0,21.0,1.5332259724507562e-06,0.9992106611570248,-20.5
104.0,Gas,GAS,2.145931282948669,-0.4,-7.2,-14.7,164.9,40387487.0,65093581.0,65099999.99999999,491554522.0,165.3,0.08216278193449311,0.9999013978494625,-179.6
105.0,Tether Gold,XAUT,7.593354041784753,-0.3,-0.7,1.3,0.4,9019407.0,246524.0,247000.0,489695345.0,0.7,0.018418404610319503,0.9980728744939271,0.9
106.0,GMX,GMX,3.945264339207948,0.3,1.5,-4.3,24.7,39938256.0,9217002.0,9220000.0,467151285.0,24.4,0.08549319520762957,0.9996748373101952,-29.0
107.0,Trust Wallet,TWT,0.7514160886839212,0.9,-5.3,-8.2,9.3,54485652.0,416649900.0,1000000000.0,465421402.0,8.4,0.11706735394175105,0.4166499,-17.5
108.0,Huobi,HT,1.366091653802371,0.0,-3.1,0.8,27.2,41079553.0,159406077.0,201000000.0,464588205.0,27.2,0.08842142903735578,0.7930650597014925,-26.4
109.0,PAX Gold,PAXG,7.589487556726784,-0.1,-0.3,1.6,0.7,13032976.0,232987.0,233000.0,460404147.0,0.7999999999999999,0.02830768594271589,0.9999442060085837,0.9000000000000001
110.0,Pepe,PEPE,0.23901690047049992,0.2,-2.7,-9.5,45.3,79609116.0,420690000000000.0,250000000.0,454089716.0,45.099999999999994,0.17531583120019392,1682760.0,-54.8
111.0,Pax Dollar,USDP,0.6931471805599453,0.1,0.0,0.0,-0.1,3387487.0,448212766.0,448000000.0,447356828.0,-0.2,0.00757222599047935,1.000474924107143,0.1
112.0,ORDI,ORDI,3.099641736944503,0.2,0.5,-5.1,435.5,201703622.0,21000000.0,21000000.0,445592225.0,435.3,0.4526641415253599,1.0,-440.6
113.0,Staked Frax Ether,SFRXETH,7.678321729008904,0.6,1.7,1.1,21.2,921580.0,205820.0,206000.0,444561266.0,20.599999999999998,0.0020730101124014706,0.999126213592233,-20.099999999999998
114.0,cWBTC,CWBTC,6.597063843147503,-0.2,0.3,1.1,18.5,43602.0,602088.0,602000.0,440695054.0,18.7,9.893916349694272e-05,1.0001461794019935,-17.4
115.0,BitTorrent,BTT,0.23901690047049992,0.6,-3.4,-6.4,17.9,31884699.0,951421714286000.0,250000000.0,432507003.0,17.299999999999997,0.07372065372083698,3805686.857144,-24.299999999999997
116.0,Terra Luna Classic,LUNC,0.23901690047049992,0.7,-1.9,-10.4,24.7,33630926.0,5803126436839.0,250000000.0,420059976.0,24.0,0.08006220045110891,23212.505747356,-35.1
117.0,Coinbase Wrapped Staked ETH,CBETH,7.666737015463629,0.2,1.3,0.9,21.0,3974549.0,195572.0,1330000.0,417495503.0,20.8,0.009519980386471373,0.14704661654135337,-20.1
118.0,NEXO,NEXO,0.5538851132264376,0.2,-0.5,-1.2,27.6,4512144.0,560000010.0,1000000000.0,414359635.0,27.400000000000002,0.010889439073861525,0.56000001,-28.8
119.0,Kujira,KUJI,1.4770487243883548,-2.0,-1.4,-4.1,163.6,2451272.0,122349807.0,122000000.0,413786827.0,165.6,0.005923997189016363,1.0028672704918034,-167.7
120.0,Zcash,ZEC,3.3738261848660236,0.5,-1.5,-6.1,7.7,42818122.0,14435666.0,21000000.0,407030960.0,7.2,0.10519622880775457,0.6874126666666667,-13.8
